Hose;trousers
Socken;socks
Jacke;coat
Turnschuhe;trainers
Handschuhe;gloves
Schal;scarf
Pullover;sweater
Rock;skirt
Strumpfhosen;tights
Stiefel;boots
Bluse;blouse
Jeans;jeans
Kleid;dress
Schuhe;shoes
Unterwäsche;underwear
sicher;sure
richtig;true
anprobieren;try on
schließen;close
Stunde;hour
Jahreszeit;season
Sonnenbrille;sunglasses
Schuluniform;schhol uniform
langweilig;boring
Krawatte;tie
Kappe;cap
Hemd;shirt
seltsam;strange
richtig;real
echt;real
werden;get
regnen;rain
schneien;snow
Frühling;spring
Herbst;autumn
Winter;winter
uns;us
anziehen;put on
heiß;hot
kühl;cool
kurz;short
dick;thick
warm;warm
hinein;into
verschiedene;different
wieder;again
wütend;angry
lachen;laugh
Zwiebel;onion
Idee;idea
schlafen gehen;go to bed
zurück;back
anfangen;start
wo;where
immer;always
normalerweise;usually
warten;wait
Armbanduhr;watch
vergessen;forget
Schulbus;school bus
laufen;run
müde;tired
nie;never
am Morgen;in the morning
alle;everyone
denken;think
Feiertag;holiday
kein;no
essen;eat
Tag;day
falsch;wrong
lustig;funny
beschäftigt;busy
Stundenplan;time table
duschen;have a schower
beenden;finish
heimkommen;get home
Nachmittag;afternoon
vor;before
Abend;evening
w;true
andere;different
zornig;angry
jeder;everyone
glauben;think
glauben;believe
alle;all
nein;no
anfangen;begin
schauen;watch
Jacke;jacket
verschiedene;various
vor;in front of
normalerweise;normally
glauben;reckon
